City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,77.88,scattered clouds,-9.8,-139.0333,Villa Enata
7,Soyo,AO,77.05,scattered clouds,-6.1349,12.3689,Hotel Mpampa
9,Labuhan,ID,77.47,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
23,Kitob,UZ,75.78,clear sky,39.0843,66.8332,KESH HOTEL
28,Faanui,PF,78.31,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
31,Vila,PT,79.7,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
40,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Paka,MY,76.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
50,Axim,GH,77.18,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
52,Hilo,US,75.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
61,Kandrian,PG,77.36,broken clouds,-6.2167,149.55,Kandrian Station
62,Bambanglipuro,ID,75.0,scattered clouds,-7.95,110.2833,Puri Brata
66,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,Montepuez,MZ,75.04,broken clouds,-13.1256,38.9997,PembaAparthotel
97,Caravelas,BR,76.41,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
103,Jamestown,US,76.32,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
104,Marquette,US,75.61,few clouds,46.5333,-87.6335,Al Quaal Lodge
105,Sao Jose Da Coroa Grande,BR,77.58,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
131,Hambantota,LK,79.95,overcast clouds,6.1241,81.1185,Bungalow 63
134,Chuncheng,CN,78.48,light rain,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
140,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
142,Bengkulu,ID,75.58,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
163,Novopokrovka,UA,75.58,overcast clouds,49.8425,36.5477,Пудж дом
165,Inongo,CD,75.27,broken clouds,-1.95,18.2667,Hotel Du Lac
180,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
190,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
191,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
211,Kirakira,SB,77.11,overcast clouds,-10.4544,161.9205,SanBiz Lodge
220,Kahului,US,76.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
233,Naze,JP,78.21,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
234,San Quintin,MX,77.7,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
235,Netrakona,BD,78.57,light rain,24.8833,90.7167,kurpar gas office
241,Pyapon,MM,78.91,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
246,Nanakuli,US,78.75,clear sky,21.3906,-158.1547,Camp Pālehua
254,Broome,US,77.81,overcast clouds,42.2506,-75.833,Chenango Valley State Park
255,Kathu,TH,75.02,light rain,7.9178,98.3332,Novotel Phuket Resort
259,Huilong,CN,79.03,light rain,31.8111,121.655,Hilton Garden Inn Qidong
264,Santa Cruz,BO,78.85,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
278,Sampao,PH,76.8,overcast clouds,7.5939,125.6611,Pag-asa Farms
279,Hounde,BF,76.46,light rain,11.5,-3.5167,Carrefour où ouvriers dorment
281,Tual,ID,79.68,broken clouds,-5.6667,132.75,Grand Vilia Hotel
292,Natitingou,BJ,77.05,light rain,10.3042,1.3796,Auberge Centrale
313,Aktau,KZ,79.38,clear sky,43.65,51.2,Silk Way Hotel
328,Anloga,GH,79.02,broken clouds,5.7947,0.8973,Pin Drop Hotel
346,Galle,LK,79.16,overcast clouds,6.0367,80.217,Amangalla
348,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
362,Nichinan,JP,79.07,heavy intensity rain,31.6,131.3667,Guest House Aki
366,Roma,US,78.82,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
368,Palmares,BR,77.07,overcast clouds,-8.6833,-35.5917,Destak Hotel Residence
369,Show Low,US,77.72,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
375,Mbandaka,CD,79.34,overcast clouds,0.0487,18.2603,Guest House Epervier
384,Albion,US,75.38,clear sky,42.2431,-84.753,Days Inn by Wyndham Albion
388,Honiara,SB,76.37,overcast clouds,-9.4333,159.95,Heritage Park Hotel
397,Majene,ID,76.5,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
403,Bubaque,GW,78.35,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
405,Nara,JP,78.08,heavy intensity rain,34.6851,135.8049,Guesthouse Nara Komachi
410,Padang,ID,75.88,light rain,-0.9492,100.3543,Mercure Padang
428,Ketou,BJ,78.12,broken clouds,7.3633,2.5998,Residences Celine Hotel Ketou
440,Banda Aceh,ID,77.45,overcast clouds,5.5577,95.3222,Sulthan Hotel International
452,Tarata,BO,75.07,clear sky,-17.6167,-66.0167,Alojamiento IV Centenario
454,Kokopo,PG,76.55,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
457,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
458,Ratnagiri,IN,78.89,scattered clouds,16.9833,73.3,Hotel Landmark
460,Bontang,ID,77.76,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
464,Si Satchanalai,TH,75.56,light rain,17.5169,99.7598,Chanalai Resort and Hotel
466,Samarai,PG,77.88,broken clouds,-10.6167,150.6667,Nuli Sapi
485,Grande Prairie,CA,78.98,broken clouds,55.1667,-118.8027,"Holiday Inn Express Grande Prairie, an IHG Hotel"
493,Bandarbeyla,SO,77.36,scattered clouds,9.4942,50.8122,JABIR HOTEL
495,La Ronge,CA,75.45,broken clouds,55.1001,-105.2842,Northland Motor Hotel
501,Mersing,MY,75.11,overcast clouds,2.4312,103.8405,Timotel Hotel
508,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
522,Komsomolskiy,UZ,77.72,scattered clouds,40.4272,71.7189,Ikathouse
525,Shimoni,KE,75.45,clear sky,-4.6476,39.3817,Shimoni Reef Lodge
527,Mitsamiouli,KM,77.88,clear sky,-11.3847,43.2844,Foyer ADM
528,Dafeng,CN,78.26,overcast clouds,23.4517,108.5881,Shenglong Hotel
531,Zhangye,CN,78.58,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
538,Sola,VU,77.0,overcast clouds,-13.8833,167.55,Leumerus Bungalows
547,Mlonggo,ID,78.69,broken clouds,-6.5333,110.7,Asia Metal Art
549,Xiongzhou,CN,77.54,moderate rain,25.1167,114.3,Xinhewan Business Hotel
556,Namatanai,PG,78.51,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
557,Karpathos,GR,78.76,few clouds,35.507,27.2132,Alex
561,Cabinda,AO,77.14,broken clouds,-5.55,12.2,Hotel Maiombe
565,Tra Vinh,VN,78.1,overcast clouds,9.9347,106.3453,Hồng Ân
572,Piacabucu,BR,77.83,few clouds,-10.4056,-36.4344,Piaçabuçu News
582,Koupela,BF,79.11,overcast clouds,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
584,Ranong,TH,78.57,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
590,Beaufort,MY,77.16,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
605,Sorong,ID,77.2,scattered clouds,-0.8833,131.25,waigo splash hotel
606,Tias,ES,76.68,clear sky,28.9611,-13.645,Hotel Beatriz Playa & SPA
607,Wickford,GB,76.12,few clouds,51.611,0.5233,Treatment For Acne
611,Sao Filipe,CV,75.31,broken clouds,14.8961,-24.4956,Hotel Xaguate
628,Acton,GB,75.52,scattered clouds,51.509,-0.2762,DoubleTree by Hilton Hotel London - Ealing
637,Miri,MY,75.34,thunderstorm with light rain,4.4148,114.0089,"Mega Hotel, Miri"
638,Havre-Saint-Pierre,CA,77.36,clear sky,50.2334,-63.5986,Auberge Niapiskau
645,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
650,Valle De Allende,MX,79.48,broken clouds,26.9333,-105.4,Hotel Meson de San Bartolome
657,Lasa,IT,79.68,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
